"n","m","c_nm"
0,0,1.7685476316554467
0,1,1.8327451498863034
0,2,1.987936499139832
0,3,3.8476860003609135
0,4,6.269509542601227
0,5,12.028752459292198
0,6,21.2253445873837
0,7,41.007616918246214
0,8,74.95853785343921
0,9,145.63182513484912
0,10,271.5575377926773
0,11,529.7699975166043
0,12,1000.558393989003
0,13,1958.0220948372619
0,14,3731.0546192233123
0,15,7319.05026879308
0,16,14037.99625004883
0,17,27590.77833524222
0,18,53184.5632399033
0,19,104695.02083423806
0,20,202610.657735654
0,21,399364.2568302887
0,22,775341.746595397
0,23,1.5299540290855046e6
0,24,2.9781605976840057e6
0,25,5.882238750308856e6
0,26,1.1475565400329316e7
0,27,2.2684173757437106e7
0,28,4.433767513870054e7
0,29,8.770646348418754e7
0,30,1.7170639404453978e8
0,31,3.3987435034456235e8
0,32,6.663257226176227e8
0,33,1.3196578238397174e9
0,34,2.590406514769006e9
0,35,5.132866416470991e9
1,0,1.8327451498863034
1,1,4.314043096295895
1,2,4.56252293787303
1,3,8.592886135393165
1,4,13.710567665205534
1,5,26.238819826149257
1,6,45.73369861852524
1,7,88.43755238483396
1,8,160.28298478246327
1,9,311.9355351455932
1,10,577.9045452698316
1,11,1129.5421174586152
1,12,2122.261087711737
1,13,4160.919942834148
1,14,7894.454847997827
1,15,15514.127378891284
1,16,29646.182698276498
1,17,58367.09334037377
1,18,112146.56156240203
1,19,221118.11577331927
1,20,426694.25744540006
1,21,842327.6675000342
1,22,1.631132706102704e6
1,23,3.223251918958839e6
1,24,6.259691740419147e6
1,25,1.2380345580867952e7
1,26,2.4101292821542125e7
1,27,4.770271551956916e7
1,28,9.305566605593266e7
1,29,1.843006306659492e8
1,30,3.6015916170777965e8
1,31,7.137164108949126e8
1,32,1.396886603049881e9
1,33,2.76956435314532e9
1,34,5.427913570677383e9
2,0,1.987936499139832
2,1,4.56252293787303
2,2,4.974575528803614
2,3,9.249802671607828
2,4,14.543541091795625
2,5,27.9644080429764
2,6,48.181764946577964
2,7,93.7309939347858
2,8,168.31422404118499
2,9,329.44464041104055
2,10,605.6714376766122
2,11,1190.0318739992174
2,12,2221.2552316883753
2,13,4375.836021653879
2,14,8254.57175629467
2,15,16292.689297558629
2,16,30974.975104558114
2,17,61227.8655008774
2,18,117101.7890823244
2,19,231743.89871030347
2,20,445324.37009015423
2,21,882130.4576299653
2,22,1.7016321054253927e6
2,23,3.373365105061039e6
2,24,6.52788505796872e6
2,25,1.2949650449999673e7
2,26,2.512602714084307e7
2,27,4.987186301722731e7
2,28,9.698551233293858e7
2,29,1.9259798820078695e8
2,30,3.7527757797757393e8
2,31,7.455621424484311e8
2,32,1.4552064919249704e9
2,33,2.8921462083026533e9
3,0,3.8476860003609135
3,1,8.592886135393165
3,2,9.249802671607828
3,3,17.701379659820603
3,4,27.822536026969857
3,5,54.015683821163464
3,6,93.00992148918662
3,7,181.90394028103995
3,8,326.43473309582595
3,9,641.2096859230119
3,10,1178.1019820365384
3,11,2320.8161550750146
3,12,4329.386654667816
3,13,8546.326370114415
3,14,16113.008281576303
3,15,31856.816869149225
3,16,60534.19240745476
3,17,119826.06656024276
3,18,229066.051103209
3,19,453871.29737617803
3,20,871784.3461578996
3,21,1.728730526187229e6
3,22,3.333343320397183e6
3,23,6.614363452031106e6
3,24,1.2794623344127169e7
3,25,2.5402810288949657e7
3,26,4.927051921182038e7
3,27,9.787085229865922e7
3,28,1.9026222764807704e8
3,29,3.7809704650765973e8
3,30,7.364777086722252e8
3,31,1.4641055492180898e9
3,32,2.8567709291482763e9
4,0,6.269509542601227
4,1,13.710567665205534
4,2,14.543541091795625
4,3,27.822536026969857
4,4,43.19028577702893
4,5,84.22132317868244
4,6,143.83520981060985
4,7,282.47626641836456
4,8,503.8240611239334
4,9,993.2596439732947
4,10,1816.045237656198
4,11,3588.967149803744
4,12,6667.944810298291
4,13,13199.94292356123
4,14,24800.4071988393
4,15,49156.83681072278
4,16,93123.81127995688
4,17,184759.3355088343
4,18,352241.6987176029
4,19,699393.1748777371
4,20,1.3401076976838263e6
4,21,2.6625259499082076e6
4,22,5.122526283695746e6
4,23,1.0182775570679963e7
4,24,1.965725472374295e7
4,25,3.9092885130347654e7
4,26,7.568114676719221e7
4,27,1.5056640809993014e8
4,28,2.921928827959366e8
4,29,5.815053539068229e8
4,30,1.1308432397851129e9
4,31,2.2511916942517962e9
5,0,12.028752459292198
5,1,26.238819826149257
5,2,27.9644080429764
5,3,54.015683821163464
5,4,84.22132317868244
5,5,164.54799547697004
5,6,281.75093217060123
5,7,553.6342158492123
5,8,989.2502551461183
5,9,1950.4725361761734
5,10,3571.0987283511595
5,11,7056.946553385177
5,12,13125.619372565865
5,13,25979.859510055277
5,14,48856.67273957272
5,15,96820.95531388636
5,16,183564.46617769677
5,17,364122.1601284258
5,18,694672.7180150594
5,19,1.379021067865836e6
5,20,2.643954003095402e6
5,21,5.251916451764004e6
5,22,1.0109869460133476e7
5,23,2.0092705501437463e7
5,24,3.880700979164504e7
5,25,7.716099616737005e7
5,26,1.494459968921709e8
5,27,2.9726224629927254e8
5,28,5.771146130577781e8
5,29,1.148322100045293e9
5,30,2.233982381953946e9
6,0,21.2253445873837
6,1,45.73369861852524
6,2,48.181764946577964
6,3,93.00992148918662
6,4,143.83520981060985
6,5,281.75093217060123
6,6,479.8707000147459
6,7,945.3077202255407
6,8,1682.4713120652416
6,9,3324.6425763167867
6,10,6068.093669147034
6,11,12014.756430953834
6,12,22289.250252633152
6,13,44194.16951160206
6,14,82926.55010503737
6,15,164594.05490013718
6,16,311456.18917903583
6,17,618681.2327692392
6,18,1.1783057615838852e6
6,19,2.3421098058406115e6
6,20,4.483563452609437e6
6,21,8.916640427028012e6
6,22,1.7140494047918133e7
6,23,3.410296984155315e7
6,24,6.5782325265777364e7
6,25,1.3093027005902654e8
6,26,2.532880898817268e8
6,27,5.0429524094205856e8
6,28,9.779850329689938e8
6,29,1.947705973880924e9
7,0,41.007616918246214
7,1,88.43755238483396
7,2,93.7309939347858
7,3,181.90394028103995
7,4,282.47626641836456
7,5,553.6342158492123
7,6,945.3077202255407
7,7,1861.8621229548905
7,8,3319.673535485426
7,9,6557.497621539108
7,10,11985.099792619383
7,11,23720.80575075969
7,12,44054.860226774974
7,13,87314.6760362761
7,14,163991.92793988847
7,15,325366.2766296028
7,16,616177.183290814
7,17,1.2235255462114378e6
7,18,2.331908514527601e6
7,19,4.633473487604091e6
7,20,8.875575243781088e6
7,21,1.7645283795266554e7
7,22,3.393887037894165e7
7,23,6.750380538750514e7
7,24,1.302775664388483e8
7,25,2.5922072297741956e8
7,26,5.0170697218391937e8
7,27,9.986104858378574e8
7,28,1.9374626970681512e9
8,0,74.95853785343921
8,1,160.28298478246327
8,2,168.31422404118499
8,3,326.43473309582595
8,4,503.8240611239334
8,5,989.2502551461183
8,6,1682.4713120652416
8,7,3319.673535485426
8,8,5901.83717387117
8,9,11676.608570588167
8,10,21292.54396032364
8,11,42200.83880037636
8,12,78228.46458978571
8,13,155237.5360285332
8,14,291093.45916919824
8,15,578183.9453162715
8,16,1.0934263150862884e6
8,17,2.1733774939245796e6
8,18,4.137075654027322e6
8,19,8.227901672081851e6
8,20,1.5743233916909995e7
8,21,3.1325259147075314e7
8,22,6.018986656095194e7
8,23,1.1981070474277718e8
8,24,2.3101186423559228e8
8,25,4.5999407797278947e8
8,26,8.895316531349972e8
8,27,1.7717595936764917e9
9,0,145.63182513484912
9,1,311.9355351455932
9,2,329.44464041104055
9,3,641.2096859230119
9,4,993.2596439732947
9,5,1950.4725361761734
9,6,3324.6425763167867
9,7,6557.497621539108
9,8,11676.608570588167
9,9,23091.454731767157
9,10,42159.33068432055
9,11,83519.91637432258
9,12,154976.76773755316
9,13,307404.18187770067
9,14,576912.6798043782
9,15,1.145423552747321e6
9,16,2.1677257406985676e6
9,17,4.307088704344175e6
9,18,8.203871124125475e6
9,19,1.6310189662935855e7
9,20,3.122559086731225e7
9,21,6.211059994201555e7
9,22,1.194035077992324e8
9,23,2.376033150910219e8
9,24,4.583465031905832e8
9,25,9.123952034099741e8
9,26,1.7651363662671843e9
10,0,271.5575377926773
10,1,577.9045452698316
10,2,605.6714376766122
10,3,1178.1019820365384
10,4,1816.045237656198
10,5,3571.0987283511595
10,6,6068.093669147034
10,7,11985.099792619383
10,8,21292.54396032364
10,9,42159.33068432055
10,10,76833.95025713528
10,11,152376.95960764127
10,12,282325.12945311656
10,13,560545.4166092998
10,14,1.050656757871061e6
10,15,2.0878174250327696e6
10,16,3.9468596745661083e6
10,17,7.848230424498795e6
10,18,1.4934221523756526e7
10,19,2.9712150316607546e7
10,20,5.68336006196676e7
10,21,1.131219324979137e8
10,22,2.1729667704669064e8
10,23,4.32667173887043e8
10,24,8.34026224104761e8
10,25,1.6611772542909892e9
11,0,529.7699975166043
11,1,1129.5421174586152
11,2,1190.0318739992174
11,3,2320.8161550750146
11,4,3588.967149803744
11,5,7056.946553385177
11,6,12014.756430953834
11,7,23720.80575075969
11,8,42200.83880037636
11,9,83519.91637432258
11,10,152376.95960764127
11,11,302059.9882778902
11,12,560152.8018514793
11,13,1.1116987676130708e6
11,14,2.085260194714809e6
11,15,4.142131338911652e6
11,16,7.835418198302442e6
11,17,1.557493174663661e7
11,18,2.9653954738193635e7
11,19,5.8977842009300396e7
11,20,1.1287017090374169e8
11,21,2.2458734749736297e8
11,22,4.3160795652444035e8
11,23,8.591389117411172e8
11,24,1.656797582681846e9
12,0,1000.558393989003
12,1,2122.261087711737
12,2,2221.2552316883753
12,3,4329.386654667816
12,4,6667.944810298291
12,5,13125.619372565865
12,6,22289.250252633152
12,7,44054.860226774974
12,8,78228.46458978571
12,9,154976.76773755316
12,10,282325.12945311656
12,11,560152.8018514793
12,12,1.0374971016519128e6
12,13,2.0606711873319685e6
12,14,3.861255061164285e6
12,15,7.675360671875777e6
12,16,1.450583418060063e7
12,17,2.8852591747867383e7
12,18,5.48898814467019e7
12,19,1.0923274534037004e8
12,20,2.08896027790139e8
12,21,4.1588227821802694e8
12,22,7.987132635731765e8
12,23,1.590675985198785e9
13,0,1958.0220948372619
13,1,4160.919942834148
13,2,4375.836021653879
13,3,8546.326370114415
13,4,13199.94292356123
13,5,25979.859510055277
13,6,44194.16951160206
13,7,87314.6760362761
13,8,155237.5360285332
13,9,307404.18187770067
13,10,560545.4166092998
13,11,1.1116987676130708e6
13,12,2.0606711873319685e6
13,13,4.0913098295181743e6
13,14,7.671319936202221e6
13,15,1.5243508300036214e7
13,16,2.8825560413940277e7
13,17,5.731602563261941e7
13,18,1.0909444667989545e8
13,19,2.1703500361682284e8
13,20,4.1524340502130276e8
13,21,8.26454119715306e8
13,22,1.5878734202353292e9
14,0,3731.0546192233123
14,1,7894.454847997827
14,2,8254.57175629467
14,3,16113.008281576303
14,4,24800.4071988393
14,5,48856.67273957272
14,6,82926.55010503737
14,7,163991.92793988847
14,8,291093.45916919824
14,9,576912.6798043782
14,10,1.050656757871061e6
14,11,2.085260194714809e6
14,12,3.861255061164285e6
14,13,7.671319936202221e6
14,14,1.4371180742865192e7
14,15,2.857368153545589e7
14,16,5.3991319640124895e7
14,17,1.0741306916629864e8
14,18,2.0430891572472247e8
14,19,4.066579095340706e8
14,20,7.77564647866334e8
14,21,1.548282706913105e9
15,0,7319.05026879308
15,1,15514.127378891284
15,2,16292.689297558629
15,3,31856.816869149225
15,4,49156.83681072278
15,5,96820.95531388636
15,6,164594.05490013718
15,7,325366.2766296028
15,8,578183.9453162715
15,9,1.145423552747321e6
15,10,2.0878174250327696e6
15,11,4.142131338911652e6
15,12,7.675360671875777e6
15,13,1.5243508300036214e7
15,14,2.857368153545589e7
15,15,5.6793252004319444e7
15,16,1.0736886714083292e8
15,17,2.135400894927755e8
15,18,4.0635606986669344e8
15,19,8.085861673003415e8
15,20,1.5467126443040144e9
16,0,14037.99625004883
16,1,29646.182698276498
16,2,30974.975104558114
16,3,60534.19240745476
16,4,93123.81127995688
16,5,183564.46617769677
16,6,311456.18917903583
16,7,616177.183290814
16,8,1.0934263150862884e6
16,9,2.1677257406985676e6
16,10,3.9468596745661083e6
16,11,7.835418198302442e6
16,12,1.450583418060063e7
16,13,2.8825560413940277e7
16,14,5.3991319640124895e7
16,15,1.0736886714083292e8
16,16,2.0284708567757267e8
16,17,4.0362026675604326e8
16,18,7.676138424964168e8
16,19,1.5280871615800378e9
17,0,27590.77833524222
17,1,58367.09334037377
17,2,61227.8655008774
17,3,119826.06656024276
17,4,184759.3355088343
17,5,364122.1601284258
17,6,618681.2327692392
17,7,1.2235255462114378e6
17,8,2.1733774939245796e6
17,9,4.307088704344175e6
17,10,7.848230424498795e6
17,11,1.557493174663661e7
17,12,2.8852591747867383e7
17,13,5.731602563261941e7
17,14,1.0741306916629864e8
17,15,2.135400894927755e8
17,16,4.0362026675604326e8
17,17,8.028889186420802e8
17,18,1.5275808085497382e9
18,0,53184.5632399033
18,1,112146.56156240203
18,2,117101.7890823244
18,3,229066.051103209
18,4,352241.6987176029
18,5,694672.7180150594
18,6,1.1783057615838852e6
18,7,2.331908514527601e6
18,8,4.137075654027322e6
18,9,8.203871124125475e6
18,10,1.4934221523756526e7
18,11,2.9653954738193635e7
18,12,5.48898814467019e7
18,13,1.0909444667989545e8
18,14,2.0430891572472247e8
18,15,4.0635606986669344e8
18,16,7.676138424964168e8
18,17,1.5275808085497382e9
19,0,104695.02083423806
19,1,221118.11577331927
19,2,231743.89871030347
19,3,453871.29737617803
19,4,699393.1748777371
19,5,1.379021067865836e6
19,6,2.3421098058406115e6
19,7,4.633473487604091e6
19,8,8.227901672081851e6
19,9,1.6310189662935855e7
19,10,2.9712150316607546e7
19,11,5.8977842009300396e7
19,12,1.0923274534037004e8
19,13,2.1703500361682284e8
19,14,4.066579095340706e8
19,15,8.085861673003415e8
19,16,1.5280871615800378e9
20,0,202610.657735654
20,1,426694.25744540006
20,2,445324.37009015423
20,3,871784.3461578996
20,4,1.3401076976838263e6
20,5,2.643954003095402e6
20,6,4.483563452609437e6
20,7,8.875575243781088e6
20,8,1.5743233916909995e7
20,9,3.122559086731225e7
20,10,5.68336006196676e7
20,11,1.1287017090374169e8
20,12,2.08896027790139e8
20,13,4.1524340502130276e8
20,14,7.77564647866334e8
20,15,1.5467126443040144e9
21,0,399364.2568302887
21,1,842327.6675000342
21,2,882130.4576299653
21,3,1.728730526187229e6
21,4,2.6625259499082076e6
21,5,5.251916451764004e6
21,6,8.916640427028012e6
21,7,1.7645283795266554e7
21,8,3.1325259147075314e7
21,9,6.211059994201555e7
21,10,1.131219324979137e8
21,11,2.2458734749736297e8
21,12,4.1588227821802694e8
21,13,8.26454119715306e8
21,14,1.548282706913105e9
22,0,775341.746595397
22,1,1.631132706102704e6
22,2,1.7016321054253927e6
22,3,3.333343320397183e6
22,4,5.122526283695746e6
22,5,1.0109869460133476e7
22,6,1.7140494047918133e7
22,7,3.393887037894165e7
22,8,6.018986656095194e7
22,9,1.194035077992324e8
22,10,2.1729667704669064e8
22,11,4.3160795652444035e8
22,12,7.987132635731765e8
22,13,1.5878734202353292e9
23,0,1.5299540290855046e6
23,1,3.223251918958839e6
23,2,3.373365105061039e6
23,3,6.614363452031106e6
23,4,1.0182775570679963e7
23,5,2.0092705501437463e7
23,6,3.410296984155315e7
23,7,6.750380538750514e7
23,8,1.1981070474277718e8
23,9,2.376033150910219e8
23,10,4.32667173887043e8
23,11,8.591389117411172e8
23,12,1.590675985198785e9
24,0,2.9781605976840057e6
24,1,6.259691740419147e6
24,2,6.52788505796872e6
24,3,1.2794623344127169e7
24,4,1.965725472374295e7
24,5,3.880700979164504e7
24,6,6.5782325265777364e7
24,7,1.302775664388483e8
24,8,2.3101186423559228e8
24,9,4.583465031905832e8
24,10,8.34026224104761e8
24,11,1.656797582681846e9
25,0,5.882238750308856e6
25,1,1.2380345580867952e7
25,2,1.2949650449999673e7
25,3,2.5402810288949657e7
25,4,3.9092885130347654e7
25,5,7.716099616737005e7
25,6,1.3093027005902654e8
25,7,2.5922072297741956e8
25,8,4.5999407797278947e8
25,9,9.123952034099741e8
25,10,1.6611772542909892e9
26,0,1.1475565400329316e7
26,1,2.4101292821542125e7
26,2,2.512602714084307e7
26,3,4.927051921182038e7
26,4,7.568114676719221e7
26,5,1.494459968921709e8
26,6,2.532880898817268e8
26,7,5.0170697218391937e8
26,8,8.895316531349972e8
26,9,1.7651363662671843e9
27,0,2.2684173757437106e7
27,1,4.770271551956916e7
27,2,4.987186301722731e7
27,3,9.787085229865922e7
27,4,1.5056640809993014e8
27,5,2.9726224629927254e8
27,6,5.0429524094205856e8
27,7,9.986104858378574e8
27,8,1.7717595936764917e9
28,0,4.433767513870054e7
28,1,9.305566605593266e7
28,2,9.698551233293858e7
28,3,1.9026222764807704e8
28,4,2.921928827959366e8
28,5,5.771146130577781e8
28,6,9.779850329689938e8
28,7,1.9374626970681512e9
29,0,8.770646348418754e7
29,1,1.843006306659492e8
29,2,1.9259798820078695e8
29,3,3.7809704650765973e8
29,4,5.815053539068229e8
29,5,1.148322100045293e9
29,6,1.947705973880924e9
30,0,1.7170639404453978e8
30,1,3.6015916170777965e8
30,2,3.7527757797757393e8
30,3,7.364777086722252e8
30,4,1.1308432397851129e9
30,5,2.233982381953946e9
31,0,3.3987435034456235e8
31,1,7.137164108949126e8
31,2,7.455621424484311e8
31,3,1.4641055492180898e9
31,4,2.2511916942517962e9
32,0,6.663257226176227e8
32,1,1.396886603049881e9
32,2,1.4552064919249704e9
32,3,2.8567709291482763e9
33,0,1.3196578238397174e9
33,1,2.76956435314532e9
33,2,2.8921462083026533e9
34,0,2.590406514769006e9
34,1,5.427913570677383e9
35,0,5.132866416470991e9
